CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES,SIGMA
Anna (Heroes),Heroes,1483.01,,3224.0,13224.0,3070.0,638.0,748.0,519.0,376.0,493.0,1.29
Marisa,Magvel,1482.9,5398.0,4293.0,2565.0,1694.0,813.0,1006.0,639.0,611.0,627.0,1.34
Ishtar,Jugdral,1482.71,2076.0,4935.0,5387.0,1870.0,1049.0,1258.0,712.0,689.0,557.0,1.32
Kagetsu,Elyos,1482.57,,,,,,,,971.0,333.0,1.29
Soleil,Fates,1482.25,4333.0,2773.0,2772.0,4639.0,1061.0,1226.0,709.0,574.0,501.0,1.27
Arval,Fodlan,1482.16,,,,,,,1247.0,564.0,370.0,1.36
Sakura,Fates,1482.11,7782.0,3146.0,3120.0,1467.0,985.0,1154.0,674.0,678.0,695.0,1.34
Zelgius,Tellius,1481.82,1488.0,2054.0,4884.0,2441.0,1638.0,1507.0,1035.0,747.0,572.0,1.32
Alm,Valentia,1481.75,1907.0,18716.0,62216.0,,,,,,,1.18
Altina,Tellius,1481.29,,,,,1111.0,656.0,756.0,773.0,434.0,1.28
Myrrh,Magvel,1481.17,2317.0,4688.0,5087.0,2066.0,1160.0,1447.0,816.0,597.0,521.0,1.34
Tibarn,Tellius,1480.17,2710.0,6611.0,3223.0,1646.0,1061.0,901.0,507.0,469.0,402.0,1.25
Henry,Ylisse,1479.85,12131.0,3101.0,2594.0,1242.0,928.0,1029.0,616.0,615.0,792.0,1.32
Ash,Heroes,1479.48,,,,,,1242.0,715.0,346.0,314.0,1.24
Jade,Elyos,1479.2,,,,,,,,532.0,382.0,1.26
Hinoka,Fates,1478.59,6851.0,4489.0,3538.0,1345.0,909.0,833.0,483.0,496.0,391.0,1.21
Selkie,Fates,1478.55,4800.0,8855.0,9770.0,1566.0,763.0,725.0,450.0,402.0,412.0,1.21
Hræsvelgr (Hraesvelgr),Heroes,1478.42,,,,,,,,769.0,284.0,1.17
Griss,Elyos,1478.15,,,,,,,,605.0,356.0,1.18
Laevatein,Heroes,1478.1,,7199.0,4603.0,1363.0,719.0,723.0,396.0,258.0,237.0,1.32
Minerva,Archanea,1478.07,3422.0,2390.0,2911.0,1294.0,787.0,870.0,685.0,585.0,523.0,1.2
Elise,Fates,1477.67,8962.0,4644.0,2783.0,1083.0,755.0,781.0,537.0,481.0,459.0,1.16
Joshua,Magvel,1477.55,8623.0,2587.0,2609.0,2575.0,723.0,766.0,568.0,428.0,462.0,1.19
Kvasir,Heroes,1477.04,,,,,,,,749.0,222.0,1.15
Reinhardt,Jugdral,1476.93,137.0,15931.0,10793.0,4963.0,2339.0,2377.0,2227.0,1242.0,1348.0,1.1
Shinon,Tellius,1476.9,2753.0,2273.0,3139.0,2576.0,656.0,669.0,405.0,411.0,411.0,1.15
Gregory,Elyos,1476.66,,,,,,,,533.0,256.0,1.17
Katarina,Archanea,1476.58,2162.0,1750.0,2288.0,1024.0,799.0,709.0,519.0,503.0,514.0,1.12
Rodrigue,Fodlan,1476.58,,,,796.0,694.0,595.0,605.0,463.0,561.0,1.07
Ilyana,Tellius,1476.53,3554.0,3485.0,4022.0,1469.0,577.0,567.0,393.0,369.0,367.0,1.24
Seiros,Fodlan,1476.47,,,,4145.0,2861.0,979.0,393.0,272.0,240.0,1.13
Lumera,Elyos,1476.16,,,,,,,,461.0,298.0,1.12
Louis,Elyos,1476.08,,,,,,,,614.0,294.0,1.17
Delthea,Valentia,1475.88,346.0,5643.0,3331.0,1386.0,826.0,887.0,602.0,508.0,513.0,1.11
Cherche,Ylisse,1475.82,4498.0,2108.0,5473.0,946.0,709.0,976.0,397.0,376.0,294.0,1.1
Thórr (Thorr),Heroes,1475.77,,,,,,1148.0,457.0,350.0,314.0,1.18
Jeritza,Fodlan,1475.71,,,,935.0,712.0,759.0,521.0,410.0,393.0,1.15
Jean,Elyos,1475.7,,,,,,,,438.0,305.0,1.14
Idunn,Elibe,1475.63,1026.0,1697.0,3222.0,1505.0,733.0,769.0,467.0,462.0,394.0,1.16
Niles,Fates,1475.51,8703.0,3237.0,2332.0,1010.0,683.0,745.0,479.0,444.0,325.0,1.15
Olivia,Ylisse,1475.5,5889.0,2615.0,2628.0,1104.0,602.0,697.0,515.0,448.0,346.0,1.2
Seth,Magvel,1475.4,3763.0,1524.0,1562.0,883.0,576.0,1616.0,691.0,700.0,593.0,1.09
Kiria/Tharja,TMS #FE,1475.4,,,,1589.0,830.0,792.0,408.0,370.0,285.0,1.16
L'Arachel,Magvel,1475.24,2425.0,2338.0,1495.0,714.0,585.0,1039.0,762.0,793.0,519.0,1.1
Clanne,Elyos,1475.21,,,,,,,,602.0,227.0,1.14
Eldigan,Jugdral,1475.09,2256.0,1621.0,2574.0,1106.0,747.0,757.0,447.0,428.0,367.0,1.15
Fae,Elibe,1475.07,1332.0,3521.0,2245.0,1078.0,793.0,768.0,518.0,441.0,455.0,1.14
Scarlet,Fates,1474.99,1848.0,1417.0,1696.0,696.0,647.0,944.0,801.0,641.0,648.0,1.12
Manuela,Fodlan,1474.93,,,,1133.0,941.0,806.0,386.0,297.0,299.0,1.14
Charlotte,Fates,1474.77,3924.0,3521.0,3704.0,1687.0,1438.0,579.0,342.0,299.0,266.0,1.1
Athos,Elibe,1474.76,591.0,1499.0,2080.0,1409.0,907.0,982.0,655.0,630.0,645.0,1.06
Faye,Valentia,1474.72,,2854.0,1978.0,1292.0,745.0,624.0,368.0,345.0,353.0,1.19
Julia,Jugdral,1474.71,624.0,1749.0,1888.0,1109.0,1340.0,1207.0,1000.0,780.0,614.0,1.04
Arvis,Jugdral,1474.61,1150.0,1058.0,1387.0,879.0,761.0,934.0,607.0,583.0,623.0,1.07
Ogma,Archanea,1474.38,3189.0,1450.0,2044.0,1141.0,738.0,653.0,434.0,383.0,341.0,1.1
Heiðr (Heidr),Heroes,1474.37,,,,,,,904.0,430.0,166.0,1.07
Inigo,Ylisse,1474.34,4599.0,2148.0,1940.0,867.0,738.0,711.0,555.0,360.0,402.0,1.09
Kagero,Fates,1474.31,3265.0,2821.0,2146.0,939.0,585.0,744.0,412.0,407.0,287.0,1.12
Navarre,Archanea,1474.0,3374.0,1699.0,2437.0,1289.0,612.0,707.0,459.0,421.0,424.0,1.09
Jill,Tellius,1473.95,2975.0,3854.0,4872.0,6999.0,470.0,534.0,313.0,307.0,286.0,1.11
Amelia,Magvel,1473.79,3214.0,2098.0,1667.0,862.0,458.0,708.0,427.0,326.0,416.0,1.03
Lissa,Ylisse,1473.65,5279.0,2068.0,1944.0,916.0,570.0,784.0,421.0,379.0,330.0,1.08
Embla,Heroes,1473.61,,,,,,,788.0,298.0,190.0,1.07
Mist,Tellius,1473.55,2972.0,1444.0,1765.0,1021.0,746.0,814.0,593.0,621.0,582.0,1.09
Haar,Tellius,1473.53,3558.0,4784.0,6520.0,765.0,482.0,554.0,292.0,282.0,204.0,1.1
Triandra,Heroes,1473.52,,,,3889.0,805.0,487.0,309.0,225.0,197.0,1.12
Palla,Archanea,1473.03,1316.0,1509.0,2171.0,789.0,580.0,713.0,504.0,441.0,448.0,1.13
Donnel,Ylisse,1472.99,10479.0,1876.0,1835.0,824.0,439.0,635.0,429.0,264.0,294.0,1.11
Eir,Heroes,1472.96,,,6224.0,1222.0,491.0,510.0,303.0,253.0,216.0,1.05
Florina,Elibe,1472.93,4012.0,1742.0,1656.0,1083.0,636.0,692.0,362.0,357.0,304.0,1.08
Stefan,Tellius,1472.89,1225.0,1003.0,1317.0,871.0,765.0,914.0,650.0,913.0,939.0,1.03
Sothe,Tellius,1472.85,3332.0,1133.0,1521.0,974.0,618.0,698.0,443.0,392.0,327.0,1.08
Gaius,Ylisse,1472.82,9465.0,1827.0,1605.0,749.0,532.0,465.0,362.0,334.0,350.0,1.06
Boyd,Tellius,1472.72,1201.0,1252.0,1406.0,1101.0,1042.0,1454.0,462.0,418.0,388.0,1.05
Ophelia,Fates,1472.58,3639.0,3812.0,2623.0,982.0,575.0,611.0,398.0,306.0,274.0,1.09
Fir,Elibe,1472.46,1818.0,1434.0,1739.0,865.0,648.0,673.0,437.0,371.0,336.0,1.05
Peri,Fates,1472.36,3892.0,1483.0,1573.0,697.0,550.0,550.0,363.0,403.0,330.0,1.08
Lucia,Tellius,1472.31,1352.0,1550.0,1704.0,977.0,861.0,1135.0,732.0,215.0,161.0,1.07
