CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES
Thrasir,Heroes,1641.25,,,7045.0,1415.0,598.0,462.0,362.0,257.0,141.0
Lucia,Tellius,1639.99,1352.0,1550.0,1704.0,977.0,861.0,1135.0,732.0,215.0,161.0
Embla,Heroes,1639.3,,,,,,,788.0,298.0,190.0
Ratatoskr,Heroes,1638.2,,,,,,,,339.0,253.0
Haar,Tellius,1637.56,3558.0,4784.0,6520.0,765.0,482.0,554.0,292.0,282.0,204.0
Gunnthrá,Heroes,1637.41,,2407.0,2985.0,968.0,437.0,536.0,341.0,264.0,225.0
Surtr,Heroes,1636.36,,3769.0,6325.0,1481.0,473.0,374.0,179.0,182.0,121.0
Florina,Elibe,1635.6,4012.0,1742.0,1656.0,1083.0,636.0,692.0,362.0,357.0,304.0
Camus,Archanea,1635.43,1829.0,2209.0,2406.0,1061.0,421.0,493.0,302.0,270.0,202.0
Lachesis,Jugdral,1634.94,1394.0,1368.0,1270.0,774.0,485.0,477.0,342.0,295.0,264.0
Tormod,Tellius,1633.88,1015.0,695.0,864.0,618.0,673.0,829.0,696.0,739.0,330.0
Matthew,Elibe,1633.56,3565.0,912.0,914.0,530.0,376.0,421.0,287.0,307.0,493.0
Ced,Jugdral,1632.11,1422.0,1655.0,2115.0,783.0,461.0,439.0,344.0,232.0,263.0
Keaton,Fates,1631.45,3724.0,5989.0,4100.0,778.0,360.0,453.0,228.0,226.0,178.0
Rune,Heroes,1630.42,,,,,,,,,257.0
Mareeta,Jugdral,1629.46,836.0,1043.0,1585.0,627.0,596.0,597.0,417.0,331.0,272.0
Flayn,Fodlan,1629.12,,,,3016.0,665.0,655.0,313.0,186.0,157.0
Rinkah,Fates,1627.76,3142.0,2972.0,4051.0,2159.0,272.0,302.0,265.0,251.0,208.0
Xane,Archanea,1624.85,1032.0,1291.0,1712.0,1489.0,298.0,399.0,230.0,225.0,404.0
Eitri,Heroes,1622.0,,,,,,1092.0,335.0,187.0,175.0
Wolt,Elibe,1621.35,969.0,654.0,844.0,600.0,496.0,461.0,330.0,364.0,416.0
Eitr,Heroes,1620.93,,,,,,,,421.0,176.0
Kris (M),Archanea,1620.8,736.0,1260.0,2063.0,1662.0,499.0,498.0,278.0,277.0,348.0
Nifl,Heroes,1620.69,,,,,,586.0,369.0,233.0,223.0
Zelestia,Elyos,1620.64,,,,,,,,399.0,195.0
Shura,Fates,1620.53,1281.0,688.0,874.0,533.0,444.0,489.0,410.0,389.0,341.0
Franz,Magvel,1619.33,615.0,430.0,496.0,467.0,367.0,502.0,402.0,323.0,380.0
Linde,Archanea,1619.05,2018.0,2385.0,1966.0,897.0,443.0,451.0,384.0,288.0,223.0
Hana,Fates,1618.75,3394.0,1413.0,1345.0,646.0,462.0,355.0,270.0,280.0,257.0
Lucius,Elibe,1618.6,2204.0,1502.0,1047.0,719.0,481.0,495.0,344.0,326.0,292.0
Barry,TMS #FE,1618.21,,,,836.0,458.0,730.0,331.0,244.0,211.0
Eleonora/Virion,TMS #FE,1617.25,,,,983.0,586.0,565.0,281.0,255.0,184.0
Mozu,Fates,1615.35,1990.0,1226.0,1351.0,694.0,642.0,699.0,545.0,489.0,75.0
Canas,Elibe,1614.84,2450.0,2827.0,831.0,474.0,299.0,352.0,264.0,243.0,216.0
Hríd (Hrid),Heroes,1614.71,,,3756.0,935.0,374.0,460.0,352.0,380.0,302.0
Oboro,Fates,1614.52,4783.0,1479.0,1406.0,549.0,366.0,315.0,227.0,210.0,179.0
Sumia,Ylisse,1613.88,2982.0,4593.0,878.0,351.0,187.0,264.0,242.0,352.0,441.0
Fáfnir (Fafnir),Heroes,1612.99,,,,,532.0,732.0,329.0,275.0,218.0
Cyril,Fodlan,1611.9,,,,673.0,551.0,807.0,1150.0,180.0,100.0
Mirabilis,Heroes,1610.96,,,,,619.0,391.0,243.0,354.0,203.0
Mae,Valentia,1610.69,131.0,1534.0,1132.0,555.0,417.0,503.0,399.0,472.0,455.0
Effie,Fates,1610.49,1974.0,2392.0,1952.0,694.0,381.0,385.0,226.0,418.0,183.0
Sombron,Elyos,1610.28,,,,,,,,247.0,194.0
Setsuna,Fates,1609.74,3292.0,1366.0,1178.0,497.0,337.0,398.0,288.0,370.0,273.0
Lloyd (FE07),Elibe,1609.31,1617.0,768.0,826.0,567.0,484.0,520.0,405.0,558.0,230.0
Ignatz,Fodlan,1608.66,,,,995.0,851.0,501.0,257.0,221.0,210.0
Guy,Elibe,1606.07,1889.0,1400.0,1289.0,793.0,646.0,663.0,127.0,103.0,1073.0
Kliff,Valentia,1604.69,239.0,5995.0,1680.0,811.0,482.0,463.0,288.0,251.0,223.0
Anankos,Fates,1603.81,1293.0,1325.0,1900.0,781.0,545.0,717.0,542.0,197.0,136.0
Éve (Eve),Elyos,1603.06,,,,,,,,257.0,206.0
Nyx,Fates,1600.06,2562.0,2231.0,2613.0,1465.0,1123.0,262.0,191.0,159.0,165.0
Ayaha/Aversa,TMS #FE,1599.08,,,,922.0,427.0,541.0,294.0,243.0,180.0
Sain,Elibe,1598.65,2031.0,1555.0,1280.0,1091.0,816.0,995.0,143.0,134.0,89.0
Lethe,Tellius,1598.49,2616.0,4186.0,4283.0,584.0,337.0,290.0,207.0,210.0,200.0
Raphael,Fodlan,1595.96,,,,1115.0,483.0,505.0,266.0,210.0,164.0
Rebecca,Elibe,1594.05,2414.0,679.0,787.0,495.0,280.0,565.0,316.0,181.0,142.0
Madeline,Elyos,1593.04,,,,,,,,201.0,237.0
Erk,Elibe,1591.56,1951.0,1912.0,2040.0,1445.0,1085.0,229.0,125.0,128.0,122.0
