CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES
Mauvier,Elyos,1736.35,,,,,,,,1189.0,268.0
Anna (Heroes),Heroes,1735.74,,3224.0,13224.0,3070.0,638.0,748.0,519.0,376.0,493.0
Sonia,Elibe,1734.29,665.0,771.0,1069.0,771.0,1109.0,1410.0,2218.0,2272.0,150.0
Zelkov,Elyos,1730.13,,,,,,,,632.0,508.0
Julia,Jugdral,1728.16,624.0,1749.0,1888.0,1109.0,1340.0,1207.0,1000.0,780.0,614.0
Henry,Ylisse,1723.69,12131.0,3101.0,2594.0,1242.0,928.0,1029.0,616.0,615.0,792.0
Henriette,Heroes,1722.26,,,,,5211.0,844.0,375.0,367.0,249.0
Altina,Tellius,1721.35,,,,,1111.0,656.0,756.0,773.0,434.0
Louis,Elyos,1720.27,,,,,,,,614.0,294.0
Elise,Fates,1719.19,8962.0,4644.0,2783.0,1083.0,755.0,781.0,537.0,481.0,459.0
Ash,Heroes,1719.03,,,,,,1242.0,715.0,346.0,314.0
L'Arachel,Magvel,1718.03,2425.0,2338.0,1495.0,714.0,585.0,1039.0,762.0,793.0,519.0
Jade,Elyos,1713.52,,,,,,,,532.0,382.0
Griss,Elyos,1709.08,,,,,,,,605.0,356.0
Olivia,Ylisse,1708.88,5889.0,2615.0,2628.0,1104.0,602.0,697.0,515.0,448.0,346.0
Seth,Magvel,1708.4,3763.0,1524.0,1562.0,883.0,576.0,1616.0,691.0,700.0,593.0
Minerva,Archanea,1707.72,3422.0,2390.0,2911.0,1294.0,787.0,870.0,685.0,585.0,523.0
Mist,Tellius,1706.09,2972.0,1444.0,1765.0,1021.0,746.0,814.0,593.0,621.0,582.0
Ishtar,Jugdral,1703.85,2076.0,4935.0,5387.0,1870.0,1049.0,1258.0,712.0,689.0,557.0
Boyd,Tellius,1703.38,1201.0,1252.0,1406.0,1101.0,1042.0,1454.0,462.0,418.0,388.0
Hræsvelgr (Hraesvelgr),Heroes,1703.09,,,,,,,,769.0,284.0
Tibarn,Tellius,1701.59,2710.0,6611.0,3223.0,1646.0,1061.0,901.0,507.0,469.0,402.0
Katarina,Archanea,1700.38,2162.0,1750.0,2288.0,1024.0,799.0,709.0,519.0,503.0,514.0
Seiros,Fodlan,1698.12,,,,4145.0,2861.0,979.0,393.0,272.0,240.0
Rodrigue,Fodlan,1697.16,,,,796.0,694.0,595.0,605.0,463.0,561.0
Kiria/Tharja,TMS #FE,1697.07,,,,1589.0,830.0,792.0,408.0,370.0,285.0
Stefan,Tellius,1696.72,1225.0,1003.0,1317.0,871.0,765.0,914.0,650.0,913.0,939.0
Charlotte,Fates,1693.71,3924.0,3521.0,3704.0,1687.0,1438.0,579.0,342.0,299.0,266.0
Haar,Tellius,1692.97,3558.0,4784.0,6520.0,765.0,482.0,554.0,292.0,282.0,204.0
Hinoka,Fates,1691.32,6851.0,4489.0,3538.0,1345.0,909.0,833.0,483.0,496.0,391.0
Ogma,Archanea,1690.61,3189.0,1450.0,2044.0,1141.0,738.0,653.0,434.0,383.0,341.0
Athos,Elibe,1689.28,591.0,1499.0,2080.0,1409.0,907.0,982.0,655.0,630.0,645.0
Ilyana,Tellius,1688.91,3554.0,3485.0,4022.0,1469.0,577.0,567.0,393.0,369.0,367.0
Delthea,Valentia,1688.1,346.0,5643.0,3331.0,1386.0,826.0,887.0,602.0,508.0,513.0
Gregory,Elyos,1686.78,,,,,,,,533.0,256.0
Kvasir,Heroes,1685.8,,,,,,,,749.0,222.0
Lumera,Elyos,1685.49,,,,,,,,461.0,298.0
Niles,Fates,1685.13,8703.0,3237.0,2332.0,1010.0,683.0,745.0,479.0,444.0,325.0
Heiðr (Heidr),Heroes,1685.0,,,,,,,904.0,430.0,166.0
Scarlet,Fates,1684.21,1848.0,1417.0,1696.0,696.0,647.0,944.0,801.0,641.0,648.0
Jill,Tellius,1683.9,2975.0,3854.0,4872.0,6999.0,470.0,534.0,313.0,307.0,286.0
Navarre,Archanea,1682.4,3374.0,1699.0,2437.0,1289.0,612.0,707.0,459.0,421.0,424.0
Shinon,Tellius,1680.78,2753.0,2273.0,3139.0,2576.0,656.0,669.0,405.0,411.0,411.0
Tormod,Tellius,1680.49,1015.0,695.0,864.0,618.0,673.0,829.0,696.0,739.0,330.0
Inigo,Ylisse,1680.48,4599.0,2148.0,1940.0,867.0,738.0,711.0,555.0,360.0,402.0
Clanne,Elyos,1678.28,,,,,,,,602.0,227.0
Jean,Elyos,1677.07,,,,,,,,438.0,305.0
Manuela,Fodlan,1676.88,,,,1133.0,941.0,806.0,386.0,297.0,299.0
Beruka,Fates,1676.72,2561.0,1357.0,1497.0,697.0,560.0,595.0,399.0,488.0,453.0
Lissa,Ylisse,1675.32,5279.0,2068.0,1944.0,916.0,570.0,784.0,421.0,379.0,330.0
Amelia,Magvel,1674.04,3214.0,2098.0,1667.0,862.0,458.0,708.0,427.0,326.0,416.0
Faye,Valentia,1673.58,,2854.0,1978.0,1292.0,745.0,624.0,368.0,345.0,353.0
Cherche,Ylisse,1673.56,4498.0,2108.0,5473.0,946.0,709.0,976.0,397.0,376.0,294.0
Palla,Archanea,1673.02,1316.0,1509.0,2171.0,789.0,580.0,713.0,504.0,441.0,448.0
Fae,Elibe,1672.79,1332.0,3521.0,2245.0,1078.0,793.0,768.0,518.0,441.0,455.0
Seteth,Fodlan,1672.73,,,,2954.0,584.0,561.0,369.0,356.0,242.0
Jeritza,Fodlan,1671.68,,,,935.0,712.0,759.0,521.0,410.0,393.0
Eldigan,Jugdral,1671.52,2256.0,1621.0,2574.0,1106.0,747.0,757.0,447.0,428.0,367.0
Idunn,Elibe,1667.25,1026.0,1697.0,3222.0,1505.0,733.0,769.0,467.0,462.0,394.0
Thrasir,Heroes,1666.67,,,7045.0,1415.0,598.0,462.0,362.0,257.0,141.0
Gaius,Ylisse,1664.38,9465.0,1827.0,1605.0,749.0,532.0,465.0,362.0,334.0,350.0
Ophelia,Fates,1664.13,3639.0,3812.0,2623.0,982.0,575.0,611.0,398.0,306.0,274.0
Fir,Elibe,1661.7,1818.0,1434.0,1739.0,865.0,648.0,673.0,437.0,371.0,336.0
Laevatein,Heroes,1659.6,,7199.0,4603.0,1363.0,719.0,723.0,396.0,258.0,237.0
Lucia,Tellius,1657.86,1352.0,1550.0,1704.0,977.0,861.0,1135.0,732.0,215.0,161.0
Florina,Elibe,1657.4,4012.0,1742.0,1656.0,1083.0,636.0,692.0,362.0,357.0,304.0
Arvis,Jugdral,1655.64,1150.0,1058.0,1387.0,879.0,761.0,934.0,607.0,583.0,623.0
Embla,Heroes,1655.12,,,,,,,788.0,298.0,190.0
Titania,Tellius,1654.92,3757.0,1311.0,1611.0,718.0,377.0,512.0,433.0,530.0,381.0
Edward,Tellius,1652.92,1446.0,1103.0,1138.0,818.0,670.0,836.0,724.0,660.0,172.0
Ratatoskr,Heroes,1652.34,,,,,,,,339.0,253.0
Kagero,Fates,1651.57,3265.0,2821.0,2146.0,939.0,585.0,744.0,412.0,407.0,287.0
Sothe,Tellius,1650.59,3332.0,1133.0,1521.0,974.0,618.0,698.0,443.0,392.0,327.0
Larcei,Jugdral,1650.3,1876.0,1508.0,2514.0,896.0,566.0,556.0,322.0,429.0,259.0
